2	ab	ady	ain	ale	arb	av	azj	ba	be	bg	bn	br	bsk	bua	ca	ce	ckt	cmn	cs	cv	cy	da	dar	ddo	de	ekk	el	en	enf	es	ess	eu	evn	fi	fr	ga	gld	he	hi	hr	hu	hy	is	it	itl	ja	ka	kca	ket	khk	kk	kl	kmr	kn	ko	koi	kpv	krl	la	lbe	lez	liv	lt	lv	mdf	mhr	ml	mnc	mns	mrj	myv	nio	niv	nl	no	olo	os	pbu	pes	pl	pt	ro	ru	sah	se	sel	sjd	sk	sl	sma	smj	smn	sms	sq	sv	ta	te	tr	tt	udm	uk	uzn	vep	xal	ykg	yrk	yux
Hilfe::N	ацхыраара	ӏэпыӏэгъу	kerai	kiduusi-x́	عون, مساعدة	кумек	yardım, kömək	ярҙам	дапамога	помощ	সাহায্য	sikour	kumék	дэмжэг, хамһалта	ajut	гӏо	вэнратгыргын	帮助	pomoc	пулӑшу	cymorth	hjælp	кумек, икьала	кумак	Hilfe	abi	βοήθεια	help	пԑрчума	socorro, ayuda	каюн	helpide, laguntza	бэлэгэ̄	apu	aide, secours	cúnamh, cabhair	бэлэчин	עזרה	मदद, सहायता	pomoć	segítség	օգնությթուն	hjálp	aiuto, soccorso		援助	დახმარება, შველა	нётапса		тусламж	жэрдем	annertoqqut	alîkarî	ಸಹಾಯ	보좌, 거들음	отсӧт	отсӧг	apu	subsidium, auxilium	кумаг	куьмек	a’b	pagalba	palīdzība	лездома	по́лыш	സഹായം	aisilan	нё̄тмил	палшык	лездамо	чидү, хелиз̌иˮ, чидярса		hulp	hjelp	abu	ахъаз, æххуыс	مرسته, کومک	کمک	pomoc	socorro, ajuda	ajutor	помощь	көмө	veahkki	пелты	ве̄ххьк	pomoc	pomóč	viehkie	viehkke	iše	veä´ǩ'ǩ	ndihmë	hjälp	உதவி	సాహాయ్యము	yardım	ярдәм, булышлык	юрттон	допомога	yordam	abu	нөкд	чамбэ	нядˮма	
Himmel::N	ажəҩан	уашъо́	kando	ini-x́	سماء	зоб	göy, səma	күк	неба	небе	আকাশ	oabl	ayáś, asmáan	огторгой, тэнгэри	celm	стигал	йъиик’	天空	nebe	пӗлӗт	awyr	himmel	зубри, зак	ас	Himmel	taevas	ουρανός	sky	ӈа	cielo	ӄиляк	zeru	няӈна	taivas	ciel	spéir	боа	שמים	आकाश, आसमान	nebo	ég, menny	երկինք	himinn	cielo	ӄысҳчаҳ	空	ცა	турам	есь	тэнгэр, огторгуй	аспан, көқ, таңдай	qilak	ezman	ಬಾನು	하늘	небо	енэж	taivas	caelum	ссав	цав	tōvaz	dangus	debess	менель	кава́	ആകാശം	abka	то̄рум	пӹлгом	менель	ӈуо, бәнтуо	тлы	hemel	himmel	taivas	арв, уӕларв	اسمان	فلک, آسمان	niebo	céu	cer	небо	халлаан	albmi	ном, ну	алльм	nebo	nebó	elmie	almme	alme	â´lmm	qiell	himmel	வானம்	ఆకాశము	gök	күк	ин	небо	osmon	taivaz	теңгр	хуруул	нумʼ	kužū
Hitze::N	ашоура	фэба́е	sesek-i	chingli-x́	حر, حرارة	багӏари	coşğunluq	томра, эҫелек	спёка	горещина, жега	তাপ	tommder	garúrumkuṣ	бүгшэм халуун	calor	йовхо	омом, омгыргын	炎热	horko	вӗри, шӑрӑх	gwres	hede	буцӏардеш	боркьи, бухӏи	Hitze	palavus, kuumus	ζέστη	heat	депи	calor	пуӄлъя	bero	хэкӯ	helle, kuumuus	chaleur	teocht, teas	пэку	חם	ताप, गरमी	vrućina	hő, hőség	շոգ	hiti	caldo, calura	хкаккәм	暑さ	სიცხე	рув	а	халуун	аптап	kianneq, kiassuseq	germayî	ಉಷ್ಣ	더위, 고온	ӧд	гожӧд, пӧсь	äkevys	calor, aestus	кӏиришиву	зегьем	kīebit, kīebi	karštis	karstums	пси	шо́кшо	ചൂട്	halhūn	рег	шокшы	пси	хейбы, хекәгә	ӄ’авла	hitte	hete	räkki	ӕнтӕф	تودوخي	گرما, حرارت	gorąco	ardor	arșiță, căldură	жара	куйаас	báhkka	ӄэчы, пётпы	жоарр	horúčava	pripéka	baahke	báhkka	pakkâ, kuṃe	paašt	vapë, nxehtësi	hetta	சூடு	వేడిమి	sıcaklık	эсселек	пӧсь	жар	issiq	räk	халун	пугэгэ, пугэдьэ	епдя	
Holz::N	амҿымаҭəахə	чъыгы́	ni	hyaaga-x́	خشب	цӏул	ağac, taxta	үағас	дрэва, драўніна	дърво	কাঠ	koad	hun	модон	fusta	дечиг	уттуут	木材	dřevo	йывӑҫ	pren	træ	урцул	гъун	Holz	puu	ξύλο	wood	пя	madera	унаӽсиӄ	zur	мо̄, дэллэ	puu	bois	adhmad	мо̄	עץ	काठ, काष्ठ	drvo	fa	փայտ	viður	legno	у’	木, 木材	ხე	юх		мод	ағаш, сүрек	qisuk	dep	ಚೌಬೀನೆ	목재	пу	пу	puu	lignum	тӏама	кӏарас	ažāpū	mediena	koks, koksne	вирь, шуфта	пу	തടി	moo	йив	пушӓнгӹ	чувто	хуаа	чӽар̌	hout	tre	puutavar, puu	хъӕдӕрмӕг	لرګی	چوب	drzewo	madeira	lemn	древесина	мас	muorra	по	мӯрр	drevo	lés	moere	muorra	muoṛâ	muõrr	dru	trä	மரக்கட்டை	కొయ్య	tahta, ağaç	агач	пу	дрова	yog'och	pu	модн	саал	пя	šāl
Honig::N	ацха	шъоу́	soyai-wakka	miida-	عسل	гьоцӏо	bal	бал	мёд	мед	মধু	mel	mac̣híi	мед	mel	моз	ръорамытк’ымыт	蜂蜜	med	пыл	mêl	honning	варъа	нуци	Honig	mesi	μέλι	honey		miel	ӄуӷля	ezti	мёд, мэриктыкун	hunaja	miel	mil	киаксо	דבש	शहद	med	méz	մեղր	hunang	miele		蜂蜜	თაფლი	мав	меʼт	бал	бал	tungusunnitsuut	hingiv	ಮಧು	감미	ма	ма	mesi	mel	ницӏ	вирт	mež	medus	medus	медь	мӱй	തേൻ	coko umgan, hibsu	ма̄г	мӱ	медь			honing	honning	mezi	мыд	شات	عسل	miód	mel	miere	мед	мүөт	miehta		мӣдт	med	méd	hååneske	meda	mietâ	miõtt	mjaltë	honung	தேன்	తెనె	bal	бал	чечы	мед	asal	mezi	бал		мяв	
Horn::N	атəыҩа	бжъэ	kirau		قرن	лълъар	buynuz	мөғөҙ	рог	рог	শিং	korn	-ltúr	эбэр	corn, banya	маӏа	рыннылгын	角	roh	мӑйрака	corn	horn	мукеки	шилу	Horn	sarv	κέρας, κέρατο	horn	наду	asta, cuerno	сиӷуныӄ	adar	ие	sarvi	corne	adharc	хуе	קרן	विषाण, सींग	rog	szarv		horn	corno	әнтэӈ	角	რქა	оӈат	ӄоʼ	эвэр	мүйіз	nassuk	strô	ಕೊಂಬು	뿔	сюр	сюр	sarvi	cornu	хъи	карч	sǭra	ragas	rags	сюра	шур	മൃഗത്തിൻറെ കൊമ്പ്	laba, buleri	а̄ньт	шур	сюро	ӈамтә	мур̌ки	hoorn	horn	sarvi	сыкъа	ښکر	شاخ	róg	corno, chifre	corn	рог	муос	čoarvi	өмты	чуэррьв	roh	róg	tjåervie	tjoarvve	čuár'vi	čuä´rvv	bri	horn	கொம்பு	కొమ్ము	boynuz	мөгез	сюр	ріг	mugiz	sar'v	өвр	энмур	нямд	unmut
Hose::N	аиқəа	гъончэ́дж	omunbe	bruuki-x́	بنطلون, سروال	тӏажу	şalvar	салбар	штаны	панталони	ট্রাউজার	bragoù	patalúuniṅ	үмдэн	pantalōns	хеча	к’онагтэ	裤子	kalhoty	шӑлавар	trowsus	bukser	шалбар	гъеӏлӏу	Hose	püksid	πανταλόνι	trousers	пи	pantalón	ӄулъигык	prakak, galtzak	брюки	housut	pantalon	bríste, treabhsar	пэрӯ	מכנסים	पतलून, पैंट	hlače	nadrág, gatya	շալվար	buxur	calzoni	ӄува	ズボン	შარვალი	кась	алеӈ	өмд	шалбар	qarliit	şewel	ಇಜಾರ	바지	вешьян	гач	puksut	bracae	хӏажак	шалвар	bikšõd	kelnės	bikses	понкст	йола́ш	ട്രൌസർ	fakūri	ка̄сь, ёлысов	ялаш	понкст	хоніˮә	вар̌	pantalon, broek	bukse	štanit	хæлаф, æддаг хæлаф, салбар	پطلون	شلوار	spodnie	calça	pantaloni	брюки	бүрүүкэ, ыстаан	buvssat	пӱммы	пукс, ко̄а̄дтӭ	nohavice	hláče	måvhka	båkså	puuvsah	puus	brekë	byxor	கால்சட்டை	ఇజారు	pantolon	чалбар	брюки, штань	брюки	shim	štanad	шалвур	туурииӈ, туурии	пиˮмя	ō, örďə-ńēr
Hunger::N	амла	гъаблэ́	kem	haaga-x́	جوع	ракъи	aclıq	аслыҡ	голад	глад	ক্ষুধা	naon	c̣hámine	гэдэһээ үлдэлгэ, үлэсхэлэн	gana, fam	мацалла	гытъатгыргын	饿	hlad	выҫлӑх	newyn	sult		мека	Hunger	nälg	πείνα	hunger	омултума	hambre	игатаӄ	gose	демулгэ	nälkä	faim	ocras	хади	רעב	भूख, क्षुधा	glad	éhség	քաղց	hungur	fame	пилвэпил	空腹	შიმშილი	ӆэӆӆы уӆапса	ӄоӷот, ӄоот	өлсгөлөн	ашаршылық	kaanneq	birçîtî	ಹಸಿವು	공복	тшыг	тшыг	nälkä, hiukajaini	fames	ккаши	каш	nǟlga	badas, alkis	bads, izsalkums	вачеши	шужыма́ш	വിശപ്പ്	omihon	тэ̄та̄л саватпи	шужымаш	вачочи	хонә, ӈамнантубса	к’ыр̌	honger	sult	nälgy	стонг	ولږه	گرسنگی	głód	fome	foame	голод	аас	nealgi	амна	не̄лльк	hlad	glád	nielkie	nielgge	nelgi	neä´lǧǧ	uri	hunger, svält	பசி	ఆకలి	açlık	ачлык	кӧтсюман	голод	ochlik	näl'g	харһнлһн	тэнубуньил	ӈӑворця̆ва	
Hälfte::N	абжа	ныкъо́	emko, nimara	anga-	نصف	бащдаб	yarım	ярты	палова, палавіна	половина	অর্ধেক	hanterenn	babár, khiíruman	үрөөлэ, хахад	meitat	ах	чывипыт	一半	půl	ҫурӑ	hanner	halvdel	байхъала	болӏикӏу, башадав	Hälfte	pool	μισό	half	пере	mitad	авныӄ	erdi	калтака̄	puoli	moitié	leath	долин, калта̄, токон	חצי	अर्धभाग	polovina	fél	կես	helmingur	metà	колӈән	半分	ნახევარი	пелак		хагас	жарты	affaq	nîvî	ಅರ್ಧ	2분의	джын	пӧв, джын	puoli	dimidium	дачӏи	зур пай, зур	pūoļ	pusė	puse	пяле	пе́ле, пел	പകുതി	hontoho	па̄л, сӯп	пел	пелькс, пель	хелы	ньлами	helft	halvdel	puoliško	æмбис, æрдæг	نیم	نیم	połowa	metade	jumătate	половина	аҥар	bealli	пеляк	пе̄лль	polovica, polka	polovíca	lehkie	lahkke	peeḷi	lâ´ǩǩ, pie´ll	gjysmë	halva	பாதி	సగము	yarı	ярым	ӝыны	половина	yarim	pol'	өрәл	вальғарэ	пеля	ejmundə
Höhe::N	агылара	лъэгагъ		qayaat-	ارتفاع, علو	борхалъи	yüksəklik	бейеклек	вышыня	височина, висота	উচ্চতা	uhelder	tháanumkuṣ	үндэрынь	altitud, altura	локхалла	эквыгыргын	高度	výška	ҫӳллӗш	uchder	højde	ахъдеш	осилъи	Höhe	kõrgus	ύψος	height	пируз	altura, altitud	усӄаныӄ	goiera, garaiera	гугда	korkeus	hauteur, altitude	airde	гогдала̄ни	קומה, גבה	उच्चता, ऊँचाई	visina	magasság	բարձրություն	hæð	altezza	асварван	高さ	სიმაღლე	карсят, паӆ		өндөр	жоғарылық, биіктік		bilindayî	ಎತ್ತರ	높이	сувда, вылына	джуджда	korkevus	altitudo	лахъшиву	кьакьанвал	kuordit	aukštis, aukštuma	augstums	серь	кӱ́кшыт	ഉയരം	kuru	карссыт	кӱкшӹц	сэрь, пандо	хирәз̌иˮ, хирә	улаф	hoogte	høyde	korgevus	бæрзæнд, бæрзонддзинад, бæрзонд	جګوالی	بلندی	wysokość	altura, altitude	înălțime	высота	үрдүк	allodat, allatvuohta	пиркы	э̄ллвӯдт	výška	vršína	jalloe, jalladahke	alludahka	aḷodâh	âlladvuõtt	lartësi	höjd	உயரம்	పొడుగు	yükseklik	биеклек	ӝуждала	висота	yuksaklik	korktuz'	өндр		пирця	
Höhle::N	аҳаҧы	гъочӏэгъ	poru	adux-x́	كهف	нохъо	mağara	мәмерйә	пячора	пещера	গুহা	kav	ġarbáanċ, ġáar	агы	cova	хьех	к’эйгин	洞穴	jeskyně	ҫӗр хӑвӑлӗ	ogof	hule	иникъ	инху	Höhle	koobas	σπηλιά	cave	баг	cueva, caverna		kobazulo	суру	luola	caverne	pluais, uaimh		מערה	गुफ़ा, गुहा	pećina, spilja	barlang	քարայր	hellir	grotta, caverna		洞窟	მღვიმე, გამოქვებული			агуй	үңгір	qaarusuk	şikeft	ಗುಹೆ	공동	нора	рудӧг	luola	caverna, spelunca	нух	кьветӏ	sūr ouk	ola	ala	у́нда	пеще́р, курыкпо́мыш	ഗുഹ	dunggu, dung	ма̄ кӣвыр курсеп	ы́раж	пещера	бәӈгүˮтүо		hol	hule	mägiondo	лӕгӕт	کاز	غار	pieczara	caverna	peșteră	пещера	хайа_хаспаҕа, көҥүс	biedju	коӈкыр, пеӈкы	вуэӈӈк	jaskyňa	jáma, votlína	beajoe	rájgge, sluoggo	kuovđâšm	skuõrr	zgafelle, shpellë	grotta, håla	குகை	గుహ	in, mağara	мәгарә	гу	печера	kavak	mägionduz	хадин көндә		яʼ ваӈг	abut, jurgū
Hügel::N	ахəы	ӏуашъхь	huru	tumta-x́	تل	гохӏ	təpə	түбә	узгорак	хълм, рид	পাহাড়	torgenn	ćhiṣ	добуун, гүбээ	puig, pujol	барз, шу, гу	и’ннун	丘陵	kopec	тӗмеске, сӑрт	bryn	høj, bakke	бекӏа	гупӏ	Hügel	küngas	λόφος	hill	соҫи	colina	пыӈуӄшаӄ	pentoka, muino	нербэкэ̄	kukkula, kumpu, mäki	colline, coteau	ard	хурэкэ̄н, боӈган	תל	पहाड़, टीला	brijeg, brežuljak	domb	բլուր	hæð, hóll	colle, collina	эскп	丘	ბორცვი	юмпар	холесь	болдог	белес, белес-белес, төбе	majorajaaq, qattuneq, majuariaq, qaqqannguaq	gir	ಗುಡ್ಡೆ	언덕	мыльк	нӧрыс, дзиб, мыльк	mäki, čärkkä	collis	бакӏу	кӏунтӏ	kāngar	kalva	paugurs	пандоня, губо́р	арка́	കുന്ന്	ala	сып урам	пӱгӹрикӓ	пандыне, губорь	хурайку, хурәгу		heuvel	bakke, haug	mätäs	къуыбыр, обау	تپه	تل, تپه	pagórek	colina	deal, movilă	холм	булгунньах	dievvá	тэтын ол	ка̄ннҌт	vŕšok	goríca, brég	deava	dievvá	čummâ	teä´rmm, pä´rcc	kodër	kulle, höjd	குன்று	చివ్నకొండ	tepe	калку	вырйыл, выр	горб	tepa	kukaz	толһа	ходирэ чумур	хой	monqə
Insel::N	адгьылбжьаха	хыгъэхъу́н	rep-un-moshiri	tanǵi-x́	جزيرة	чӏинкӏиллъи	ada	үтрау	востраў	остров	দ্বীপ	enez		олтирог арал	illa	гӏайре	илир	岛	ostrov	утрав	ynys	ø	остров	чӏинкӏиллъи	Insel	saar	νήσος, νησί	island	нуй	isla	ӄиӽӄаӄ	uharte, irla	бур, буркача̄н	saari	île	inis, oileán	боача̄к	אי	टापू, द्वीप	ada, otok	sziget	վղզի	eyja	ìsola	ӆэмч	島	კუნძული	пухар	ей	арал	арал	qeqertaq	girav	ದ್ವೀಪ	섬		ді	suari	insula	жазира	остров	kǭla	sala	sala	цёнга	отро́	ദ്വീപ്	tun	тумп	острок	усия	ӈүай	ур̌, ӿитф	eiland	øy	suari	сакъадах	جزيره, ټاپو	جزیره	wyspa	ilha	insulă	остров	арыы	suolu	маркы	суэл	ostrov	ôtok	sååle	suoloj	suálui	suâl	ujdhesë, ishull	ö	தீவு	దీవి	ada	утрау, атау	вумуӵ, шормуӵ	острів	orol	sar'	арл	эмул	ӈо	emul
Jahr::N		илъэ́с	pa	slu-x́	عام, سنة	лъагӏел, сон	il	йыл	год	година	সৌরবর্ষ	bloaz	sáal, den	жэл	any	шо	гивин’ит	年	rok	ҫулталӑк	blwyddyn	år	дус	лӏаӏб	Jahr	aasta	χρόνος, έτος	year	пэа	año	уксюӄ	urte	анӈани	vuosi	année, an	bliain	айӈани	שנה	वर्ष, बरस	godina	év	տարի	ár	anno	год	年	წელი	таӆ	сыы	жил	жыл	ukioq	sal	ಸಂವತ್ಸರ	해	год	во	vuosi	annus	шин	йис	āigast	metai	gads	киза	ий	വർഷം	se	та̄л	год	ие	хүо	ань	jaar	år	vuozi	афӕдз, аз	کال	سال	rok	ano	an	год	сыл, дьыл	jahki	поты	ыгкь	rok	léto	jaepie	jahke	ihe	ee´ǩǩ	vit	år	வருடம்	సంవత్సరము	sene, yıl	ел	ар	рік	yil	voz'	җил	сукунмольӻал	по	ńə-molġil, gȫd
Kamm::N	ахҳəа	мажь	kirai	singlaasi-x́	مشط	гьоркьо	daraq	тараҡ	расчоска	гребен	চিরুনি	krib	hisk	һам	pinta	ехк	мычунэн’	梳子	hřeben	тура	crib	kam		гьилӏу	Kamm	kamm	χτένα	comb	чеди	peine	мысюна	orrazi	игдывӯн	kampa	peigne	cíor	расчёска	מסרק	कंघी	češalj	fésű	սանր	greiða	pèttine	тхәмтх	櫛	სავარცხელი	куншап		сам	тарақ	illaagutit, illaajaatit pl.	şeh	ಹಣಿಗೆ	빗	сынан	сынан	suka	pecten	ттарал	регъ	kem	šukos	ķemme	сюрьхцем	шерге́	ചീപ്പ്	ijifun	консуп	шерге	сурсеме		э	kam	kam	suga	сӕрвасӕн	ګمنځ	شانه	grzebień	pente	pieptene	расческа	тараах	čohkun	тивсын	чоагкь	hrebeň	glavník	gaampe	tjåhkom, rájdam	čohhoom	čååǥǥam	krehër	kam	கீப்பு	దువ్వెన	tarak	тарак	сын	гребінець	taroq	suga	сам	монильэданӻии	тирць(н)	anġijə
Kampf::N	ақəҧара	бэнэныгъ	ukoiki-ambe	amǵi-x́	قتال	къеркьей	savaş	көрәш	барацьба	сражение, борба	লড়াই	kann	jaṅ, hólguṣ	тэмсэл	lluita	къийсам	тайкаквыргын	战斗	boj	кӗрешӳ	brwydr	kamp	мушул вашни	лъибо	Kampf	võitlus	αγώνας	fight	сайдума	combate, lucha		auska, gudu	ӈо̄рчан	taistelu	combat, lutte	troid	ва̄чан	לחימה, קרב	लड़ाई, संघर्ष	boj, borba	harc	մարտ	bardagi	lotta		戦い	ბრძოლა	ляльсты вер		байлдаан, тэмцэл	күрес, алыспақ	sorsunneq	şer	ಹೋರಾಟ	전투	нярасьӧм, вермасьӧм	вермасьӧм	tora	pugna	лачӏуи уккаву	женг	võikslimi	kova	cīņa	тюрема́	кредалма́ш	പോരാട്ടം	afan	воритотнэ ва̄рмаль	кредӓлмӓш	тюрема	торамубса		strijd, gevecht	kamp	borču, tora	тох, хъæбысæйхæст, хæст	مبارزه, جنګ	مبارزه, نبرد	bój, walka	luta, combate	luptă	борьба	охсуһуу	doarru, vuostelasvuohta	орыння	вуаййпмушш	boj	bórba, bòj	gæmhpome	oajbbom, rahtjamus, doarro	tuáṛi	tuärrmõš	luftim	kamp, strid	போராட்டம்	పోట్లాట	savaş	көрәш	нюръяськон	бій, боротьба	kurash	tora	бәрлдлһн, ноолдан	ньинууйиичэ	тароˮма	
